neighbourhood_cleansed,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
Bijlmer-Centrum,33734417,73937898,1,1,52.3173,4.95538,4,2.0,2.0,99.0,3,7,3.0,3.0,1125.0,1125.0,3.0,1125.0,0.0,28,58,88,88,86,14,0,4.52,4.73,4.8,4.86,4.86,4.52,4.51,1,0,1,0,2.61
Bos en Lommer,162848551,429995217,29,29,1152.31565,106.75164,55,28.0,34.0,2498.0,84,4748,82.0,106.0,11195.0,11195.0,92.2,11195.0,0.0,94,212,361,1653,2127,44,3,100.76,101.23,100.11,103.01,103.22,96.63,97.32,25,15,10,0,21.55
Buitenveldert - Zuidas,40867597,29446742,2,2,104.64809,9.737960000000001,4,2.0,2.0,170.0,5,1325,5.0,5.0,2250.0,2250.0,5.0,2250.0,0.0,33,93,153,392,79,8,0,9.77,9.86,9.85,9.969999999999999,10.0,9.469999999999999,9.63,3,1,2,0,1.31
Centrum-Oost,321295267,1501016797,85,85,3194.296859,299.058529,173,93.0,123.0,11391.0,203,28147,196.0,253.0,37376.0,39399.0,212.0,37926.0,0.0,585,1145,1672,6732,11501,688,44,284.15,286.08,281.94,289.08,288.8,287.66,275.41,75,48,27,0,116.43
Centrum-West,258796997,1225048821,289,289,4347.262328,405.625954,225,108.0,139.0,14597.0,314,38358,309.0,324.0,57435.0,58336.0,314.9,58323.6,0.0,1065,2211,3343,13172,12636,735,46,386.09,388.28000000000003,383.39,392.49,392.33,394.53000000000003,374.75,218,171,42,0,121.74
De Aker - Nieuw Sloten,5603102,14662757,4,4,157.028009,14.391656000000001,7,3.0,6.0,395.0,7,235,7.0,7.0,1280.0,1280.0,7.0,1280.0,0.0,62,96,160,794,853,56,5,14.44,14.62,14.69,14.76,14.57,13.47,14.01,3,0,2,1,8.530000000000001
De Baarsjes - Oud-West,567651824,2249171317,277,277,4870.06475632,452.268057925,259,143.0,185.0,14145.0,293,43434,282.0,332.0,53351.0,53351.0,296.6,53351.0,0.0,823,1615,2487,9907,7251,612,27,441.54,445.15,437.53,450.11,451.52,434.59000000000003,426.27,275,74,199,0,82.42
De Pijp - Rivierenbuurt,222295573,1097559109,75,75,2722.25862,254.685297,156,76.0,107.0,9468.0,200,22020,194.0,214.0,31289.0,32453.0,203.4,32402.6,0.0,590,1226,1824,5747,7372,286,18,245.71,247.97,244.1,250.49,251.39000000000001,245.06,237.34,59,31,27,0,79.53
Geuzenveld - Slotermeer,65640214,341007616,8,8,366.656956,33.782516,22,13.0,14.0,816.0,24,3465,23.0,25.0,6780.0,6780.0,23.6,6780.0,0.0,83,143,203,700,763,41,1,33.55,34.22,34.06,34.2,34.42,31.560000000000002,32.78,9,3,6,0,8.870000000000001
IJburg - Zeeburgereiland,226773008,907956822,39,39,837.728627,79.853905,59,33.0,46.0,2313.0,48,5170,48.0,50.0,7994.0,7994.0,50.0,7994.0,0.0,61,171,274,1513,789,33,2,73.05,73.69,70.39,74.3,74.25,70.69,71.74,35,9,26,0,10.41
Noord-Oost,158375207,600815413,24,24,524.01738,49.649190000000004,37,15.0,26.0,1123.0,28,6050,28.0,28.0,4630.0,7928.0,28.0,4644.5,0.0,91,195,355,2362,865,49,0,48.76,49.11,48.67,48.980000000000004,49.51,46.29,46.83,39,3,36,0,12.33
Noord-West,100129275,437866347,17,17,628.968124,58.797502,38,22.0,25.0,1486.0,32,5943,32.0,32.0,10296.0,10296.0,32.0,10296.0,0.0,126,248,391,2172,1533,33,0,57.29,57.43,56.6,57.89,58.63,54.07,55.94,16,6,6,0,16.83
Oostelijk Havengebied - Indische Buurt,112643750,501091774,26,26,1204.4298,113.63898,62,30.0,34.0,2561.0,66,8505,65.0,67.0,14035.0,14035.0,66.7,14035.0,0.0,171,332,549,1941,2241,44,0,110.25,111.63,110.68,112.25,112.14,108.07,107.78,26,14,12,0,23.94
Oud-Noord,110938257,170685644,20,20,890.62955,83.65458,69,35.0,53.0,2847.0,73,7471,73.0,73.0,13748.0,13748.0,73.0,13748.0,0.0,163,328,502,1956,1743,118,6,81.07,81.05,79.27,82.95,83.14,80.06,78.5,21,16,5,0,18.61
Oud-Oost,217717372,470713420,45,45,1832.49644,172.12364,88,45.0,54.0,4692.0,105,16329,105.0,105.0,21879.0,21879.0,105.0,21879.0,0.0,187,445,730,2656,2530,186,19,168.82,170.14000000000001,166.69,171.56,171.27,166.7,162.97,45,32,13,0,28.74
Slotervaart,13003383,53058386,12,12,314.16521,29.0261,16,8.0,9.0,539.0,14,1217,14.0,14.0,5629.0,5629.0,14.0,5629.0,0.0,38,71,146,594,1303,37,5,29.18,29.380000000000003,29.4,29.51,29.560000000000002,27.76,28.59,11,1,10,0,13.62
Watergraafsmeer,38321300,113674347,14,14,680.5499599999999,64.06196,42,27.0,31.0,1727.0,44,4344,43.0,44.0,5199.0,5199.0,43.4,5199.0,0.0,50,116,205,1853,1256,28,1,62.68,63.32,61.85,63.9,63.3,60.4,61.1,14,9,5,0,13.86
Westerpark,247351975,845916044,49,49,1990.55941,185.29289,114,60.0,78.0,6421.0,157,15447,157.0,161.0,20737.0,20737.0,157.2,20737.0,0.0,269,541,808,3045,3628,151,9,176.16,178.28,175.07,179.75,180.66,173.55,170.62,45,36,9,0,37.07
Zuid,119104400,315898073,47,47,2198.76255,204.34207,145,85.0,93.0,7679.0,160,18557,161.0,171.0,26017.0,26017.0,162.7,26017.0,0.0,339,730,1117,3795,4781,249,12,200.82,202.35,200.53,204.97,205.05,200.82,194.02,50,40,9,0,48.63
